14	0	0
13.2979	0.15344	0
12.59594	0.29344	0
11.1923	0.55678	0
9.78866	0.82012	0
8.38474	1.09886	0
6.9818	1.31754	0
5.57956	1.47728	0
4.17914	1.50122	0
2.78054	1.4063	0
2.08208	1.29444	0
1.38446	1.12098	0
1.03656	0.97342	0
0.68908	0.78372	0
0.34272	0.52976	0
0.16996	0.35938	0
0	0	0
0.1778	-0.19208	0
0.35308	-0.2191	0
0.70294	-0.2072	0
1.05252	-0.18004	0
1.4021	-0.15554	0
2.10168	-0.12068	0
2.80126	-0.09422	0
4.20084	-0.06076	0
5.6007	-0.05124	0
7.00098	-0.06678	0
8.40098	-0.07266	0
9.80098	-0.0658	0
11.2007	-0.05348	0
12.6007	-0.04942	0
13.30056	-0.03976	0
14	0	0
