14.5	0	0
13.772825	0.15892	0
13.045795	0.30392	0
11.592025	0.576665	0
10.138255	0.84941	0
8.684195	1.138105	0
7.23115	1.364595	0
5.77883	1.53004	0
4.328395	1.554835	0
2.879845	1.456525	0
2.15644	1.34067	0
1.433905	1.161015	0
1.07358	1.008185	0
0.71369	0.81171	0
0.35496	0.54868	0
0.17603	0.372215	0
0	0	0
0.18415	-0.19894	0
0.36569	-0.226925	0
0.728045	-0.2146	0
1.09011	-0.18647	0
1.452175	-0.161095	0
2.17674	-0.12499	0
2.901305	-0.097585	0
4.35087	-0.06293	0
5.800725	-0.05307	0
7.251015	-0.069165	0
8.701015	-0.075255	0
10.151015	-0.06815	0
11.600725	-0.05539	0
13.050725	-0.051185	0
13.77558	-0.04118	0
14.5	0	0
